combined,id,lat,lng,overhead,sv,has_sv,reason
5,M00048,33.163078,-105.807357,4,3,True,"The marked line route runs through an area of dense mixed tree canopy with no obvious cleared right-of-way. Trees press directly into the corridor path from both sides with little visible clearance, indicating significant encroachment that could contact conductors."
5,M00096,33.059892,-105.711535,5,0,True,"The cyan line marking the corridor passes directly through dense tall tree canopy on the left/center portion of the tile. Trees clearly overhang the route around the marker, with heavy canopy pressing in and over the line, indicating high contact risk."
5,M00113,33.119510,-105.729189,5,-1,False,"The cyan line indicating the power line route passes directly through dense tall tree canopy on the right side of the tile, with trees clearly overhanging the corridor. The marker endpoint sits among heavy vegetation, indicating significant canopy directly over the line route."
5,M00154,33.167141,-105.776231,5,-1,False,"The marked line (cyan) crosses directly through dense tree canopy with no cleared right-of-way along its path. The trees press right up to and over the route, indicating heavy overhang risk near conductors."
5,M00184,33.094503,-105.713612,4,4,True,"A single conductor is faintly visible in the upper right sky. Tall pine trees, clearly as tall or taller than the line height, populate the entire hillside within a span-width of the corridor. Nearest trees appear AT or ABOVE conductor height, within tens of feet of the line."
5,M00242,33.162285,-105.804970,5,1,True,"The cyan line indicating the power line route passes directly through a dense cluster of tall trees in the center and right of the tile. The canopy is clearly directly over the corridor with significant overhang, posing a high contact risk."
5,M00277,33.163877,-105.818159,5,-1,False,"The marked line passes directly through dense tall tree canopy with no visible cleared right-of-way. Trees overhang the entire route with no maintained corridor, indicating heavy vegetation directly over the conductors."
5,M00309,33.155829,-105.785736,4,5,True,"Overhead conductors run across the upper portion of the image. The large tree on the left clearly rises ABOVE the conductor lines and its crown is directly under/touching the line corridor, presenting an overtopping risk. It is within the line span, essentially at the corridor."
5,M00310,33.155880,-105.786269,5,-1,False,"The marked line route (cyan) runs directly across continuous dense tall tree canopy with no visible cleared corridor. Trees clearly cover and overhang the entire line path, indicating heavy vegetation that could contact conductors."
5,M00311,33.155932,-105.786803,5,-1,False,"The cyan line marks the corridor route crossing dense, continuous tall tree canopy on the right/east side. There is no cleared right-of-way through the forest; trees directly overhang the line path with no visible clearance, indicating high contact risk."
5,M00418,33.061429,-105.711226,5,0,True,"The cyan line route passes directly through dense, tall tree canopy at and below the marker. There is no cleared corridor along the line path; large trees clearly overhang the route, presenting high contact risk."
5,M00507,33.164808,-105.825829,4,3,True,"The marked line route (cyan) runs directly through dense scrubby tree and shrub canopy that crowds and overhangs the corridor from both sides. There is little clearance, with vegetation pressing into the route, indicating significant encroachment that could contact conductors."
5,M00534,33.151538,-105.758471,5,-1,False,"The line route (cyan) runs directly through dense tall tree canopy with no cleared corridor visible. Trees overhang the entire path, indicating severe vegetation encroachment over the conductors."
