id,lat,lng,fast,overhead,sv,combined,has_sv,reason
R00000,37.104423,-122.104624,3,-1,5,5,True,"A wood distribution pole with crossarm is visible on the right, with conductors running along the road and across it. Tall redwoods and dense tree crowns on the right stand at or above conductor height and appear to be touching/overhanging the lines, well within the 4 ft envelope, plus significant fall-in risk."
R00001,37.104650,-122.102403,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The scene shows a residential driveway with dense vegetation, trees, and landscaping, but no wooden poles, crossarms, or uninsulated conductors are present. This appears to be a private property area rather than a utility corridor."
R00002,37.104763,-122.141453,3,-1,4,4,True,"Overhead distribution conductors are visible running along the right side of the road, supported by a wood pole. Tall conifer trees on both sides reach at or above conductor height, with crowns directly beside and above the line within the recommended clearance envelope. Nearest vegetation is AT/ABOVE conductor height, within roughly 5-10 ft."
R00003,37.104867,-122.115623,0,-1,0,0,True,"No overhead electric distribution conductors are visible in this image. The view shows a narrow forest road lined with tall redwood and other trees, with dense understory vegetation, but no utility poles, crossarms, or power lines of any kind are present."
R00004,37.104876,-122.105197,2,-1,2,2,True,"Overhead distribution conductors are visible on wooden poles along both sides of the road. The nearest vegetation (tall conifer and deciduous trees) is BELOW to AT conductor height and located approximately 15-25 feet away from the line corridor. Trees are present in the landscape but outside the immediate clearance envelope, with no vegetation touching or overhanging the conductors and no tree crowns directly adjacent at conductor height that would present immediate violation-level risk."
R00005,37.104889,-122.115059,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The scene shows a paved path through a dense forest with tall trees, undergrowth, and vegetation, but no electrical lines, poles, or crossarms are present in the view."
R00006,37.104889,-122.114497,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The scene shows a winding road through a dense redwood forest with tall trees on both sides, but no utility poles, crossarms, or overhead lines are present in the frame."
R00007,37.104894,-122.113930,0,-1,0,0,True,"No overhead electric distribution conductors are visible in this image. The scene shows a residential driveway in a forested area with tall redwood/conifer trees, wooden structures, and dense understory vegetation, but no utility poles, crossarms, or uninsulated conductors are present."
R00008,37.104910,-122.116232,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The scene shows a residential driveway/road in a heavily forested area with dense vegetation on both sides, but no wooden poles, crossarms, or uninsulated conductors are evident. The overhead lines visible appear to be service drops or telecom lines only, not distribution infrastructure requiring CPUC clearance compliance."
R00009,37.104973,-122.116801,4,-1,5,5,True,"Distribution conductors are visible on the wood pole with crossarm center-right. The corridor is surrounded by tall redwoods and dense evergreens far exceeding conductor height, with tree crowns and branches at and above the line and vegetation immediately beside/overhanging the conductors within a few feet."
R00010,37.105013,-122.101501,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The view shows a heavily vegetated roadside with dense tree canopy and undergrowth, but no power lines, poles, or conductors can be identified."
R00011,37.105026,-122.113360,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The scene shows a rural road in a forested area with a wooden shelter structure on the left, tall trees on both sides, and dense vegetation, but no power lines or utility poles with distribution conductors are present."
R00012,37.105029,-122.110872,4,-1,4,4,True,"Multiple overhead conductors crossing the frame diagonally. Tall trees (redwoods/deciduous) directly beside and above the lines, with crowns at or above conductor height within a few feet, and dense vegetation growing up toward the corridor. Nearest tree canopy is AT/ABOVE conductor height, roughly within the 12 ft recommended envelope."
R00013,37.105175,-122.141949,3,-1,4,4,True,"Overhead distribution conductors are visible crossing the frame from upper left toward the right side. On the right, tall trees and tree crowns appear at or above conductor height directly beside the line, entering the recommended clearance envelope. Fog obscures exact distances but vegetation on the right is AT conductor height and close."
R00014,37.105244,-122.110296,3,-1,5,5,True,"Overhead conductors are faintly visible running diagonally across the upper portion of the image. Dense tree foliage is directly overhanging and touching the line, well within the 4 ft violation threshold. Vegetation is AT and ABOVE conductor height immediately adjacent."
R00015,37.105251,-122.112866,4,-1,5,5,True,"Overhead distribution conductors are visible running from the pole (center-left with crossarm) across the corridor. The area is densely forested with tall redwoods and other trees whose crowns are AT or ABOVE conductor height, and vegetation appears immediately adjacent to and overhanging the lines within a few feet, indicating violation-level encroachment."
R00016,37.105295,-122.106274,5,-1,4,4,True,"Overhead conductors are visible crossing the top of the image. Dense tall trees, including redwoods and deciduous crowns, extend well ABOVE the conductor height directly beside and around the line, with foliage within the recommended 12 ft envelope. Tall trees pose fall-in risk."
R00017,37.105304,-122.105398,4,-1,5,5,True,"An overhead conductor is visible running diagonally across the frame from upper left toward the pole. Dense redwood and mixed forest crowd both sides of the corridor with tall trees well above conductor height, and vegetation appears to be touching/overhanging the line on the left side, indicating violation-level clearance."
R00018,37.105363,-122.111499,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The view shows a narrow, heavily vegetated road corridor with dense tree canopy and vegetation on both sides, but no utility poles, crossarms, or uninsulated conductors are discernible."
R00019,37.105485,-122.112360,4,-1,5,5,True,"Overhead distribution conductors are visible crossing the upper portion of the image. Dense tree crowns and redwoods are at and above conductor height directly beside and overhanging the lines, with vegetation appearing to touch or come within a few feet of the conductors - violation-level clearance."
R00020,37.105562,-122.109484,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The scene shows a rural road lined with trees and dense vegetation, but no power poles, crossarms, or uninsulated conductors can be identified."
R00021,37.105618,-122.108859,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The image shows a tree-lined road in a forested area with tall redwood or conifer trees, but no utility poles, crossarms, or uninsulated conductors are apparent."
R00022,37.105620,-122.142413,4,-1,5,5,True,"Multiple overhead distribution conductors cross the foggy scene from upper left toward the right side. Trees on the left are at or above conductor height and their crowns/branches appear to intermingle with or touch the lines, indicating vegetation within violation-level clearance."
R00023,37.105639,-122.106838,2,-1,2,2,True,"Overhead distribution conductors are visible on the wood pole on the left side of the image. Dense ivy and climbing vegetation covers the lower portion of the pole and extends along the roadside, but the nearest vegetation (ivy and low understory) is BELOW conductor height. Taller tree canopies are visible in the background above the line but are set back from the immediate corridor. The dense ivy coverage presents long-term maintenance concerns, but current vegetation near the active conductor is below line height and outside the critical clearance zone."
R00024,37.105753,-122.105723,4,-1,5,5,True,"Overhead distribution conductors are visible running along the left side of the road (upper left diagonal spans and along the corridor). Dense tall trees and heavy foliage on both sides are AT or ABOVE conductor height and appear to be touching/overhanging the lines, well within the 4 ft envelope."
R00025,37.105889,-122.111098,3,-1,5,5,True,"Overhead conductors are visible crossing the upper portion of the image from left to right. Tall trees and dense vegetation on the right side reach at or above the conductor height, with foliage appearing to overhang and directly contact the line — a violation-level condition. Nearest vegetation is AT/ABOVE conductor height and touching."
R00026,37.106047,-122.108599,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The scene shows a narrow forest road lined with tall trees, vegetation, and rocky outcrops on the right side, but no utility poles, crossarms, or distribution lines are present."
R00027,37.106093,-122.103715,5,-1,5,5,True,"A distribution conductor runs diagonally across the upper portion of the image with a pole visible mid-frame. Dense tall trees and redwood crowns are immediately adjacent and above conductor height, with foliage appearing to touch/overhang the line — violation-level clearance."
R00028,37.106096,-122.104693,4,-1,5,5,True,"Overhead distribution conductors are visible on the left side of the image spanning across the road. Dense tall trees and foliage are directly at and above conductor height immediately adjacent to and overhanging the lines, well within the 4 ft clearance envelope - violation level."
R00029,37.106219,-122.110419,2,-1,2,2,True,"Overhead distribution conductors are visible running through the center of the image on wooden poles. The nearest vegetation consists of tall redwood and conifer trees flanking both sides of the corridor. Tree crowns are ABOVE conductor height, but the trees are positioned outside the immediate corridor and appear to be below the conductor elevation at their closest approach to the line. The vegetation is well-spaced from the conductors, roughly 15-20+ feet away, and does not encroach into the 4-12 ft clearance envelope. While tall trees present a potential fall-in risk if they were to fail, they are currently outside the violation and recommended clearance zones."
R00030,37.106245,-122.142665,4,-1,4,4,True,"Overhead distribution conductors are visible running from the wood pole on the right along the road corridor. Dense trees and vegetation flank both sides, with tree crowns at or above conductor height directly beside the line within the recommended 12 ft envelope."
R00031,37.106263,-122.107267,4,-1,4,4,True,"A single overhead conductor spans horizontally across the upper portion of the image. Tall redwoods and other trees on both sides rise well ABOVE conductor height directly beside the line, and dense foliage/branches appear within the recommended clearance envelope near the wire, though nothing clearly touches it."
R00032,37.106339,-122.108201,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The view shows a tree-lined rural road with dense vegetation on both sides, but no utility poles, crossarms, or conductors are present in the frame."
R00033,37.106357,-122.106095,3,-1,4,4,True,"Overhead conductors are visible crossing the scene diagonally from upper left toward the right. Tall redwoods and dense tree crowns are at or above conductor height directly adjacent to the line span, with foliage very close to the wires. Nearest vegetation appears AT/ABOVE conductor height within the recommended clearance envelope."
R00034,37.106371,-122.109914,0,-1,0,0,True,"No overhead electric distribution conductors are visible in this image. The scene shows a residential driveway lined with tall redwood and other trees, but no utility poles, crossarms, or uninsulated conductors are apparent. While dense vegetation is present, there are no distribution lines to assess for clearance violations."
R00035,37.106624,-122.109046,4,-1,4,4,True,"A wood pole with distribution conductors is visible left-center running toward the tree line. Tall redwoods and conifers stand directly behind/beside the line at heights well ABOVE conductor level, within falling distance and close to the corridor, placing crowns at/above conductor height beside the line."
R00036,37.106663,-122.106753,4,-1,5,5,True,"Distribution conductors are visible spanning the road from the pole on the left, with wires running through and past dense redwood/tree foliage. Tall trees are well ABOVE conductor height and directly adjacent, with crowns overhanging the line span, indicating touching/overhanging vegetation and severe fall-in risk."
R00037,37.106681,-122.105539,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The view shows a tree-lined road in the Santa Cruz Mountains with dense vegetation on both sides, but no utility poles, crossarms, or uninsulated conductors are apparent."
R00038,37.106765,-122.142894,3,-1,4,4,True,"Overhead distribution conductors are clearly visible running across the upper-left of the frame and along the road corridor to a pole in the distance. Tall trees (conifers and mixed hardwoods) on both sides reach at/above conductor height. The large conifer on the left and dense tree crowns on the right are at or above line height and close to the corridor, within the recommended 12 ft envelope and posing fall-in risk."
R00039,37.106808,-122.104941,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The view shows tall redwood and conifer trees in a residential/forest setting with structures and vegetation, but no power lines or utility infrastructure are apparent in the frame."
R00040,37.106865,-122.109616,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The view shows a fenced recreational area with dense forest/tree coverage in the background, but no utility poles, crossarms, or uninsulated conductors are present in the frame."
R00041,37.107022,-122.107109,3,-1,4,4,True,"A single overhead conductor is visible running diagonally across the upper-left of the image. Tall redwood trees and dense tree crowns are directly adjacent to and above the conductor line, well above conductor height and within the recommended clearance envelope, indicating significant fall-in and encroachment risk."
R00042,37.107046,-122.108533,2,-1,2,2,True,"Distribution conductors are visible on the wood pole on the left side of the image. Vegetation (trees and shrubs) is present near the line corridor, but the nearest trees are below conductor height and appear to be 15-20+ feet away from the line. No immediate violation-level clearance issues visible, but tall trees exist in the general area that could pose fall-in risk if not maintained."
R00043,37.107140,-122.143119,3,-1,3,3,True,"Overhead distribution conductors are clearly visible crossing the sky from upper right toward a pole down the road. Tall trees (including a conifer near the pole and roadside trees) are at or above conductor height within falling distance, though nearest vegetation in the immediate span appears somewhat below and to the side. Trees taller than the line pose fall-in risk."
R00044,37.107370,-122.108950,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The photo shows a residential property at night with landscape lighting strung between posts on the property itself, but no utility poles, crossarms, or distribution lines are present in the frame."
R00045,37.107427,-122.107878,3,-1,4,4,True,"Overhead distribution conductors are visible spanning left-to-right from the wood pole with crossarm on the left. Tall redwoods and dense tree crowns rise well ABOVE conductor height directly beside and behind the line; foliage appears within the recommended 12 ft envelope, with the tallest trees posing fall-in risk."
R00046,37.107507,-122.143641,4,-1,4,4,True,"A wood pole with crossarm and multiple uninsulated distribution conductors is visible crossing the foggy scene. Tall trees on the left side reach to or above conductor height, with crowns directly beside the line spans within the recommended 12 ft envelope, and taller trees pose fall-in risk."
R00047,37.107594,-122.112152,0,-1,0,0,True,"No overhead electric distribution conductors are visible in this image. The view shows a forested road corridor with tall trees lining both sides, but no wood poles, crossarms, or uninsulated conductors are present in the scene."
R00048,37.107651,-122.110418,3,-1,5,5,True,"Overhead distribution conductors are visible spanning across the image with a pole on the right. Tall redwoods and conifers are directly adjacent to and overhanging the conductor lines, with tree crowns well ABOVE conductor height and foliage touching or within a few feet of the lines - violation-level clearance and severe fall-in risk."
R00049,37.107718,-122.109534,4,-1,4,4,True,"A utility pole is visible mid-frame on the right side of the road with possible distribution conductors running along the corridor. Dense tall trees (redwoods and hardwoods) surround the pole, with tree crowns at and above conductor height directly adjacent to the line, placing vegetation within the recommended envelope and at fall-in risk."
R00050,37.107731,-122.112817,4,-1,5,5,True,"Overhead conductors are visible running along the left side and crossing the road (dark cables at upper left). Dense tall redwood and mixed forest crowns are immediately adjacent and above the line, with foliage effectively touching/overhanging the conductors—well within the 4 ft envelope."
R00051,37.107764,-122.111499,4,-1,4,4,True,"Overhead distribution conductors are visible spanning from the wood pole on the left across the road. Tall conifer trees stand directly beside and along the conductor line, with crowns at or above conductor height within close proximity (well inside the 12 ft envelope), posing overhang and fall-in risk."
R00052,37.107783,-122.108234,3,-1,4,4,True,"Overhead distribution conductors are visible crossing and running along the road, supported by poles near the roadside. Tall redwoods flank both sides of the corridor with crowns well ABOVE conductor height, and dense vegetation is directly adjacent to the lines within the recommended 12 ft envelope. Nearest tree canopy appears at/above conductor height within a few feet on both sides."
