combined,id,lat,lng,overhead,sv,has_sv,reason
5,M000019,32.965937,-105.825434,5,-1,False,"[nearest recloser: RECL_1039 (0.7 mi); nearest fuse: FUSE_391 (0.9 mi)] The line route (marked in cyan) passes through dense, continuous tree canopy with no visible cleared corridor. Tall vegetation appears directly over the entire route, indicating severe overhang risk."
5,M000037,32.948951,-105.836681,5,-1,True,"[nearest recloser: RECL_1013 (0.8 mi); nearest fuse: FUSE_388 (0.1 mi); SV imagery 2024-04] The line corridor (cyan) runs vertically through the tile and passes directly through a dense stand of tall trees, especially south of the pin marker where heavy green canopy overhangs the route. The eastern half is thick canopy pressing right onto the line, indicating high contact risk."
5,M000039,32.947545,-105.839070,5,-1,True,"[nearest recloser: RECL_1013 (0.9 mi); nearest fuse: FUSE_388 (0.1 mi); SV imagery 2026-02] The marked line route (cyan) runs directly through dense tall tree canopy with no visible cleared corridor. Trees clearly overhang the route along its entire length, presenting high risk of conductor contact."
5,M000047,32.952281,-105.820688,5,-1,False,"[nearest recloser: RECL_1013 (0.4 mi); nearest fuse: FUSE_397 (0.0 mi)] The cyan line routes cross dense forested terrain. While a road/track partly follows the corridor near the pin, the line paths run largely under continuous tall tree canopy with no cleared right-of-way, indicating heavy overhang and vegetation contact risk."
5,M000075,32.956753,-105.761005,5,-1,False,"[nearest recloser: RECL_1042 (1.3 mi); nearest fuse: FUSE_2983 (0.4 mi)] The cyan line crosses dense tall tree canopy with no visible cleared right-of-way. Trees appear directly over the route with heavy overhang, indicating severe vegetation encroachment risk."
5,M000079,32.955069,-105.752835,5,-1,False,"[nearest recloser: RECL_1042 (1.8 mi); nearest fuse: FUSE_2983 (0.9 mi)] The marked line route runs directly through dense, tall tree canopy with no cleared corridor visible. Trees overhang the entire path, indicating heavy vegetation directly over the line."
5,M000080,32.954927,-105.752215,5,-1,False,"[nearest recloser: RECL_1042 (1.8 mi); nearest fuse: FUSE_2983 (0.9 mi)] The blue line marks the feeder route running diagonally across the tile through dense forested terrain. There is no cleared right-of-way visible; tall dark tree canopy covers most of the tile and clearly presses over the line path, indicating heavy overhang risk."
5,M000083,32.948224,-105.817591,5,-1,True,"[nearest recloser: RECL_1013 (0.7 mi); nearest fuse: FUSE_397 (0.3 mi); SV imagery 2024-04] The line route (cyan) passes directly through dense tall tree canopy with no cleared corridor visible. Trees clearly overhang the entire path, especially near the marker where mature crowns cover the line, indicating high contact risk."
5,M000108,32.985765,-105.802696,5,-1,False,"[nearest recloser: RECL_1042 (2.1 mi); nearest fuse: FUSE_398 (1.0 mi)] The line route (marked in cyan) runs through dense, continuous tall tree canopy with no visible cleared right-of-way. Trees clearly cover the entire corridor, indicating heavy overhang directly over the conductors."
5,M000120,32.986617,-105.785036,5,-1,False,"[nearest recloser: RECL_1042 (1.9 mi); nearest fuse: FUSE_398 (0.1 mi)] The blue line traces the power route directly through dense tall tree canopy with no visible cleared corridor or right-of-way. Trees clearly cover and overhang the entire route, indicating heavy vegetation directly over the conductors."
