combined,id,lat,lng,overhead,sv,has_sv,reason
5,R00114,37.115677,-122.114609,-1,5,True,"[contact, severity 9/10] A conductor runs diagonally across the upper portion of the frame and passes directly through the crown of the large oak; branches and foliage visually merge with the wire path, strongly suggesting contact or near-contact."
5,R00216,37.121723,-122.121971,-1,5,True,"[contact, severity 9/10] The conductors run horizontally across the frame and pass directly into the dense foliage on the right side of the image, where the wire path visually merges with the vegetation, indicating very likely contact."
4,R00014,37.105244,-122.110296,-1,5,True,"[overhang, severity 8/10] A conductor is visible crossing the upper-left/center of the frame, and dense broadleaf foliage from the right-side tree extends across into the wire path, appearing to overhang within a few feet. Direct contact cannot be confirmed due to backlighting and overlapping background canopy, so I stop short of 9-10."
4,R00025,37.105889,-122.111098,-1,5,True,"[overhang, severity 7/10] Conductors run across the upper right of the frame. The tall redwood foliage on the right side reaches up toward the line, and some branches appear to overhang or come close to the wire path with a few feet of separation, but no clear contact is visible. Background canopy makes exact geometry uncertain."
4,R00056,37.107924,-122.105667,-1,5,True,"[overhang, severity 7/10] Conductors span from the pole across the road; foliage from tall redwoods appears to overhang the wire path with some separation. Dense background canopy makes exact geometry hard to confirm, but limbs near the line are visible with several feet of clearance rather than direct contact."
4,R00062,37.108308,-122.108096,-1,5,True,"[overhang, severity 8/10] Conductors run along the right side and across the frame from the pole. Dense tree foliage on the left-center directly overhangs and appears to merge with the wire path where the lines pass through the crown, suggesting limbs within a few feet of the conductor. Backlit sun glare adds some uncertainty, but the geometry supports close overhang rather than clear contact."
4,R00067,37.109013,-122.107648,-1,5,True,"[overhang, severity 8/10] A leafy deciduous tree grows up toward the conductors crossing the frame, with upper foliage reaching close to and appearing to overhang the lines. Some branches near the top approach the wire path with only a few feet of separation, though direct contact is not clearly confirmed against the background canopy."
4,R00083,37.112878,-122.115581,-1,5,True,"[overhang, severity 7/10] Conductors span from the pole on the right across the road toward trees on the left. Dense redwood and mixed foliage on the right side is very close to and appears to overhang the conductors with only a few feet of separation, though much of the darker green behind the wires is background canopy. No definitive contact point is clearly visible, so this reads as overhang with limited separation rather than confirmed contact."
4,R00096,37.114275,-122.103255,-1,5,True,"[overhang, severity 7/10] A conductor spans diagonally across the upper frame. Tree canopy on both sides reaches up toward the wire, with limbs from the left tree and the central tree extending near/over the line path, though visible separation appears to remain. Backlit sun glare reduces certainty on exact clearance, so rated as overhang with several feet of apparent separation."
4,R00112,37.115348,-122.115098,-1,5,True,"[overhang, severity 8/10] A leafy deciduous tree in the mid-ground has upper foliage rising near the conductor span that runs from upper-left to the pole on the right. The crown appears to reach very close to and possibly overhang the wire within a few feet, though sun glare makes exact separation hard to confirm."
