id,lat,lng,fast,overhead,sv,combined,has_sv,reason
M000000,32.995119,-105.833312,1,1,-1,1,False,
M000001,32.995582,-105.833643,1,1,-1,1,False,
M000002,32.996376,-105.834270,1,1,-1,1,False,
M000003,32.996831,-105.834616,2,2,-1,2,False,
M000004,32.997285,-105.834963,1,1,-1,1,False,
M000005,32.998482,-105.835863,1,1,-1,1,False,
M000006,32.998938,-105.836206,1,1,-1,1,False,
M000007,33.025110,-105.845016,1,1,-1,1,False,
M000008,33.036296,-105.836334,1,1,-1,1,False,
M000009,33.036817,-105.836167,1,1,-1,1,False,
M000010,33.037338,-105.836000,1,1,-1,1,False,
M000011,32.982453,-105.827303,5,4,-1,4,False,"The line route runs through mostly forested terrain with scattered lighter clearings, but tall tree canopy presses in from both sides along most of the route with little consistent cleared right-of-way, indicating significant encroachment."
M000012,32.981922,-105.827192,5,4,-1,4,False,"The route marked by the blue line runs through scattered tall vegetation (appears to be juniper/scrub-forest) with no visibly cleared corridor. Trees and canopy are pressing directly along the line path with little to no clearance, indicating significant encroachment that could contact conductors."
M000013,32.979424,-105.826661,1,1,-1,1,False,
M000014,32.978893,-105.826549,1,1,-1,1,False,
M000015,32.969690,-105.825215,1,1,-1,1,False,
M000016,32.969151,-105.825246,1,1,-1,1,False,
M000017,32.967015,-105.825375,4,3,-1,3,False,"The line route (cyan) follows a partially open, lighter sandy strip, but scattered scrubby tree/shrub canopy presses in from both sides along much of the corridor. Vegetation is low-to-moderate desert scrub rather than tall dense forest, with clumps encroaching near the line edge, indicating moderate encroachment."
M000018,32.966476,-105.825404,5,4,-1,4,False,"The marked line runs through what appears to be scrubby, mixed vegetation with no visibly cleared corridor. Tree/shrub canopy presses in on both sides of the route with little discernible clearance, indicating significant encroachment near the line."
M000019,32.965937,-105.825434,5,5,-1,5,False,"The line route (marked in cyan) passes through dense, continuous tree canopy with no visible cleared corridor. Tall vegetation appears directly over the entire route, indicating severe overhang risk."
M000020,32.963939,-105.825556,1,1,-1,1,False,
M000021,32.963400,-105.825586,2,2,-1,2,False,
M000022,32.962217,-105.825652,2,2,-1,2,False,
M000023,32.961678,-105.825683,2,2,-1,2,False,
M000024,32.960163,-105.825767,1,1,-1,1,False,
M000025,32.959624,-105.825802,1,1,-1,1,False,
M000026,32.958815,-105.825845,1,1,-1,1,False,
M000027,32.958276,-105.825880,1,1,-1,1,False,
M000028,32.956267,-105.825998,1,1,-1,1,False,
M000029,32.955283,-105.826237,1,1,-1,1,False,
M000030,32.955202,-105.826873,1,1,-1,1,False,
M000031,32.954483,-105.829853,1,1,-1,1,False,
M000032,32.954151,-105.830360,1,1,-1,1,False,
M000033,32.952690,-105.832420,1,1,-1,1,False,
M000034,32.952316,-105.832883,1,1,-1,1,False,
M000035,32.950928,-105.835602,2,2,-1,2,False,
M000036,32.951041,-105.836231,1,1,-1,1,False,
M000037,32.948951,-105.836681,4,5,-1,5,False,"The line corridor (cyan) runs vertically through the tile and passes directly through a dense stand of tall trees, especially south of the pin marker where heavy green canopy overhangs the route. The eastern half is thick canopy pressing right onto the line, indicating high contact risk."
M000038,32.948412,-105.836666,2,2,-1,2,False,
M000039,32.947545,-105.839070,4,5,-1,5,False,"The marked line route (cyan) runs directly through dense tall tree canopy with no visible cleared corridor. Trees clearly overhang the route along its entire length, presenting high risk of conductor contact."
M000040,32.950655,-105.838484,1,1,-1,1,False,
M000041,32.950481,-105.839093,1,1,-1,1,False,
M000042,32.949687,-105.841911,2,2,-1,2,False,
M000043,32.949800,-105.842540,2,2,-1,2,False,
M000044,32.952735,-105.825817,1,1,-1,1,False,
M000045,32.952196,-105.825790,0,0,-1,0,False,
M000046,32.951964,-105.821208,0,0,-1,0,False,
M000047,32.952281,-105.820688,4,5,-1,5,False,"The cyan line routes cross dense forested terrain. While a road/track partly follows the corridor near the pin, the line paths run largely under continuous tall tree canopy with no cleared right-of-way, indicating heavy overhang and vegetation contact risk."
M000048,32.953231,-105.818625,2,2,-1,2,False,
M000049,32.953399,-105.818014,4,4,-1,4,False,"The cyan line marks the power line route, which passes directly through clusters of tall trees on the right/center portion of the image. While the left side is open grassland, the eastern half shows dense canopy directly over and pressing into the corridor with little clearance, indicating significant encroachment risk."
M000050,32.954931,-105.815828,1,1,-1,1,False,
M000051,32.955361,-105.815439,1,1,-1,1,False,
M000052,32.955791,-105.815051,1,1,-1,1,False,
M000053,32.956758,-105.814175,4,4,-1,4,False,"The cyan line marks the power line route running diagonally through the tile. Dense tree canopy presses in on both sides of the corridor, with clusters of trees directly along the route especially in the lower and upper portions. While there are some open patches, the canopy is encroaching heavily with little clearance in several spots, indicating high risk of conductor contact."
M000054,32.957185,-105.813781,1,1,-1,1,False,
M000055,32.960100,-105.790671,1,1,-1,1,False,
M000056,32.959993,-105.790041,1,1,-1,1,False,
M000057,32.959894,-105.786012,2,2,-1,2,False,
M000058,32.959868,-105.785370,1,1,-1,1,False,
M000059,32.959041,-105.780316,2,2,-1,2,False,
M000060,32.958897,-105.779696,4,4,-1,4,False,"The cyan line marks the feeder route crossing the tile. The area shows scrubby to tall vegetation with tree clumps pressing directly along and into the line path, especially toward the right side where darker canopy sits close to the route. Clearance is limited, indicating significant encroachment."
M000061,32.958844,-105.775552,2,2,-1,2,False,
M000062,32.959079,-105.774973,2,2,-1,2,False,
M000063,32.959314,-105.774394,1,1,-1,1,False,
M000064,32.960057,-105.772642,2,2,-1,2,False,
M000065,32.960325,-105.772084,2,2,-1,2,False,
M000066,32.960676,-105.771351,1,1,-1,1,False,
M000067,32.960721,-105.770710,1,1,-1,1,False,
M000068,32.960766,-105.770069,1,1,-1,1,False,
M000069,32.960812,-105.769428,1,1,-1,1,False,
M000070,32.960839,-105.769041,2,2,-1,2,False,
M000071,32.960956,-105.768413,2,2,-1,2,False,
M000072,32.961074,-105.767786,1,1,-1,1,False,
M000073,32.960144,-105.764773,1,1,-1,1,False,
M000074,32.959715,-105.764382,1,1,-1,1,False,
M000075,32.956753,-105.761005,4,5,-1,5,False,"The cyan line crosses dense tall tree canopy with no visible cleared right-of-way. Trees appear directly over the route with heavy overhang, indicating severe vegetation encroachment risk."
M000076,32.956353,-105.760574,1,1,-1,1,False,
M000077,32.955600,-105.758335,1,1,-1,1,False,
M000078,32.955453,-105.757716,1,1,-1,1,False,
M000079,32.955069,-105.752835,5,5,-1,5,False,"The marked line route runs directly through dense, tall tree canopy with no cleared corridor visible. Trees overhang the entire path, indicating heavy vegetation directly over the line."
M000080,32.954927,-105.752215,3,5,-1,5,False,"The blue line marks the feeder route running diagonally across the tile through dense forested terrain. There is no cleared right-of-way visible; tall dark tree canopy covers most of the tile and clearly presses over the line path, indicating heavy overhang risk."
M000081,32.948992,-105.817423,2,2,-1,2,False,
M000082,32.949509,-105.817240,1,1,-1,1,False,
M000083,32.948224,-105.817591,4,5,-1,5,False,"The line route (cyan) passes directly through dense tall tree canopy with no cleared corridor visible. Trees clearly overhang the entire path, especially near the marker where mature crowns cover the line, indicating high contact risk."
M000084,32.947685,-105.817615,2,2,-1,2,False,
M000085,32.945312,-105.816662,1,1,-1,1,False,
M000086,32.944802,-105.816454,2,2,-1,2,False,
