id,lat,lng,fast,overhead,sv,combined,has_sv,reason
M00000,33.162796,-105.801806,0,0,-1,0,False,
M00001,33.162385,-105.802022,1,1,-1,1,False,
M00002,33.164889,-105.800721,0,0,-1,0,False,
M00003,33.164739,-105.800215,2,2,-1,2,False,
M00004,33.163930,-105.801275,1,1,-1,1,False,
M00005,33.163510,-105.801467,1,1,-1,1,False,
M00006,33.163091,-105.801660,0,0,-1,0,False,
M00007,33.155712,-105.778633,1,1,-1,1,False,
M00008,33.060544,-105.711209,1,1,-1,1,False,
M00009,33.060303,-105.711662,2,2,-1,2,False,
M00010,33.162828,-105.804225,2,2,-1,2,False,
M00011,33.163225,-105.804477,1,1,-1,1,False,
M00012,33.081437,-105.714668,1,1,-1,1,False,
M00013,33.163033,-105.802722,1,1,-1,1,False,
M00014,33.163089,-105.803255,1,1,-1,1,False,
M00015,33.159658,-105.791785,2,2,-1,2,False,
M00016,33.159859,-105.791304,2,2,-1,2,False,
M00017,33.160060,-105.790823,1,1,-1,1,False,
M00018,33.165441,-105.802712,1,1,-1,1,False,
M00019,33.162933,-105.801733,1,1,-1,1,False,
M00020,33.162987,-105.802266,0,0,-1,0,False,
M00021,33.165407,-105.817080,1,1,-1,1,False,
M00022,33.164882,-105.812498,1,1,-1,1,False,
M00023,33.161002,-105.792651,1,1,-1,1,False,
M00024,33.156072,-105.778574,1,1,-1,1,False,
M00025,33.164889,-105.800721,1,1,-1,1,False,
M00026,33.165307,-105.800524,1,1,-1,1,False,
M00027,33.146489,-105.748564,2,2,-1,2,False,
M00028,33.146747,-105.748124,1,1,-1,1,False,
M00029,33.159705,-105.770775,4,2,-1,2,False,"The line route (cyan) runs through semi-arid scrubland with scattered low shrubs/bushes rather than tall continuous forest canopy. There is no clearly cleared corridor visible, but the vegetation is low and patchy with bare ground throughout, so encroachment risk to conductors is limited. Some bushes are near the route but they appear short."
M00030,33.159975,-105.770677,2,2,-1,2,False,
M00031,33.160404,-105.770517,1,1,-1,1,False,
M00032,33.160833,-105.770357,1,1,-1,1,False,
M00033,33.160816,-105.789539,2,2,-1,2,False,
M00034,33.161257,-105.789647,1,1,-1,1,False,
M00035,33.163978,-105.804774,1,1,-1,1,False,
M00036,33.163550,-105.804611,1,1,-1,1,False,
M00037,33.163871,-105.823920,2,2,-1,2,False,
M00038,33.163517,-105.826231,1,1,-1,1,False,
M00039,33.163169,-105.825891,1,1,-1,1,False,
M00040,33.161002,-105.792651,1,1,-1,1,False,
M00041,33.160759,-105.793104,1,1,-1,1,False,
M00042,33.160517,-105.793556,2,2,-1,2,False,
