id,line_idx,lat,lng,green,score,reason
C000000,0,32.908183,-105.973251,0.002,0,desert cull (greenness below threshold)
C000001,5,32.907459,-105.973030,0.003,0,desert cull (greenness below threshold)
C000002,8,32.906333,-105.974570,0.006,0,desert cull (greenness below threshold)
C000003,12,32.904714,-105.977973,0.008,0,desert cull (greenness below threshold)
C000004,15,32.903495,-105.980566,0.008,0,desert cull (greenness below threshold)
C000005,20,32.900041,-105.980505,0.008,0,desert cull (greenness below threshold)
C000006,21,32.899303,-105.980493,0.008,0,desert cull (greenness below threshold)
C000007,25,32.895845,-105.980434,0.007,0,desert cull (greenness below threshold)
C000008,29,32.892267,-105.980371,0.008,0,desert cull (greenness below threshold)
C000009,35,32.891768,-105.984595,0.007,0,desert cull (greenness below threshold)
C000010,39,32.891649,-105.988834,0.008,0,desert cull (greenness below threshold)
C000011,43,32.891546,-105.992912,0.008,0,desert cull (greenness below threshold)
C000012,48,32.891508,-105.997951,0.007,0,desert cull (greenness below threshold)
C000013,53,32.891487,-106.002070,0.008,0,desert cull (greenness below threshold)
C000014,57,32.888142,-106.003060,0.009,0,desert cull (greenness below threshold)
C000015,61,32.888137,-106.007137,0.009,0,desert cull (greenness below threshold)
C000016,66,32.888129,-106.012233,0.009,0,desert cull (greenness below threshold)
C000017,70,32.888124,-106.016312,0.009,0,desert cull (greenness below threshold)
C000018,74,32.888115,-106.020390,0.009,0,desert cull (greenness below threshold)
C000019,79,32.888114,-106.025494,0.009,0,desert cull (greenness below threshold)
C000020,81,32.888993,-106.026526,0.009,0,desert cull (greenness below threshold)
C000021,82,32.889869,-106.026535,0.009,0,desert cull (greenness below threshold)
C000022,85,32.892507,-106.026561,0.009,0,desert cull (greenness below threshold)
C000023,87,32.894264,-106.026578,0.008,0,desert cull (greenness below threshold)
C000024,90,32.896902,-106.026599,0.008,0,desert cull (greenness below threshold)
C000025,91,32.897782,-106.026607,0.008,0,desert cull (greenness below threshold)
C000026,94,32.900422,-106.026632,0.008,0,desert cull (greenness below threshold)
C000027,95,32.901300,-106.026637,0.008,0,desert cull (greenness below threshold)
C000028,98,32.903943,-106.026661,0.009,0,desert cull (greenness below threshold)
C000029,99,32.904817,-106.026672,0.008,0,desert cull (greenness below threshold)
C000030,103,32.908338,-106.026697,0.008,0,desert cull (greenness below threshold)
C000031,104,32.909216,-106.026705,0.008,0,desert cull (greenness below threshold)
C000032,107,32.911853,-106.026730,0.009,0,desert cull (greenness below threshold)
C000033,108,32.912728,-106.026722,0.008,0,desert cull (greenness below threshold)
C000034,111,32.915356,-106.026769,0.007,0,desert cull (greenness below threshold)
C000035,112,32.916264,-106.026750,0.007,0,desert cull (greenness below threshold)
C000036,117,32.917110,-106.022538,0.008,0,desert cull (greenness below threshold)
C000037,121,32.917149,-106.018318,0.009,0,desert cull (greenness below threshold)
C000038,125,32.917172,-106.014027,0.008,0,desert cull (greenness below threshold)
C000039,129,32.917195,-106.009765,0.008,0,desert cull (greenness below threshold)
C000040,133,32.917218,-106.005470,0.008,0,desert cull (greenness below threshold)
C000041,138,32.917238,-106.000208,0.007,0,desert cull (greenness below threshold)
C000042,143,32.885456,-106.026520,0.009,0,desert cull (greenness below threshold)
C000043,144,32.884546,-106.026522,0.009,0,desert cull (greenness below threshold)
C000044,147,32.881924,-106.026493,0.008,0,desert cull (greenness below threshold)
C000045,148,32.881047,-106.026477,0.009,0,desert cull (greenness below threshold)
C000046,152,32.881040,-106.030455,0.008,0,desert cull (greenness below threshold)
C000047,156,32.879336,-106.032413,0.008,0,desert cull (greenness below threshold)
C000048,159,32.876794,-106.032384,0.007,0,desert cull (greenness below threshold)
C000049,161,32.875090,-106.032370,0.008,0,desert cull (greenness below threshold)
C000050,166,32.874104,-106.035696,0.008,0,desert cull (greenness below threshold)
C000051,170,32.874119,-106.039835,0.007,0,desert cull (greenness below threshold)
C000052,173,32.873429,-106.041989,0.009,0,desert cull (greenness below threshold)
C000053,175,32.873435,-106.044077,0.008,0,desert cull (greenness below threshold)
C000054,179,32.873442,-106.048262,0.008,0,desert cull (greenness below threshold)
C000055,184,32.870506,-106.049477,0.008,0,desert cull (greenness below threshold)
C000056,189,32.869832,-106.053380,0.007,0,desert cull (greenness below threshold)
C000057,193,32.869810,-106.057479,0.009,0,desert cull (greenness below threshold)
C000058,197,32.869801,-106.061596,0.009,0,desert cull (greenness below threshold)
C000059,202,32.869784,-106.066746,0.008,0,desert cull (greenness below threshold)
C000060,203,32.868923,-106.066855,0.009,0,desert cull (greenness below threshold)
C000061,206,32.866279,-106.067192,0.008,0,desert cull (greenness below threshold)
C000062,207,32.865793,-106.067193,0.008,0,desert cull (greenness below threshold)
C000063,211,32.862841,-106.067233,0.007,0,desert cull (greenness below threshold)
C000064,212,32.862047,-106.067268,0.008,0,desert cull (greenness below threshold)
C000065,216,32.858957,-106.067289,0.008,0,desert cull (greenness below threshold)
C000066,217,32.858182,-106.067290,0.008,0,desert cull (greenness below threshold)
C000067,221,32.855175,-106.067313,0.009,0,desert cull (greenness below threshold)
C000068,222,32.854216,-106.067315,0.009,0,desert cull (greenness below threshold)
C000069,225,32.851520,-106.067358,0.009,0,desert cull (greenness below threshold)
C000070,226,32.850574,-106.067359,0.009,0,desert cull (greenness below threshold)
C000071,229,32.847883,-106.067406,0.009,0,desert cull (greenness below threshold)
C000072,230,32.846974,-106.067408,0.008,0,desert cull (greenness below threshold)
C000073,237,32.842667,-106.065108,0.007,0,desert cull (greenness below threshold)
C000074,243,32.839306,-106.064233,0.007,0,desert cull (greenness below threshold)
C000075,245,32.839084,-106.065740,0.006,0,desert cull (greenness below threshold)
C000076,250,32.838899,-106.070434,0.003,0,desert cull (greenness below threshold)
C000077,253,32.839724,-106.070650,0.003,0,desert cull (greenness below threshold)
C000078,254,32.840188,-106.070759,0.003,0,desert cull (greenness below threshold)
C000079,274,32.835043,-106.063169,0.007,0,desert cull (greenness below threshold)
C000080,281,32.834517,-106.059722,0.008,0,desert cull (greenness below threshold)
C000081,284,32.836273,-106.055318,0.010,0,desert cull (greenness below threshold)
C000082,286,32.837458,-106.052380,0.010,0,desert cull (greenness below threshold)
C000083,288,32.838629,-106.049446,0.011,0,desert cull (greenness below threshold)
C000084,290,32.839809,-106.046507,0.011,0,desert cull (greenness below threshold)
C000085,292,32.840994,-106.043564,0.011,0,desert cull (greenness below threshold)
C000086,294,32.842169,-106.040624,0.011,0,desert cull (greenness below threshold)
C000087,296,32.843348,-106.037684,0.011,0,desert cull (greenness below threshold)
C000088,298,32.844323,-106.035254,0.011,0,desert cull (greenness below threshold)
C000089,301,32.845801,-106.031570,0.011,0,desert cull (greenness below threshold)
C000090,303,32.847005,-106.028569,0.010,0,desert cull (greenness below threshold)
C000091,304,32.847597,-106.027099,0.010,0,desert cull (greenness below threshold)
C000092,305,32.848186,-106.025631,0.010,0,desert cull (greenness below threshold)
C000093,307,32.849307,-106.022835,0.010,0,desert cull (greenness below threshold)
C000094,310,32.850424,-106.020039,0.010,0,desert cull (greenness below threshold)
C000095,311,32.851010,-106.018571,0.010,0,desert cull (greenness below threshold)
C000096,313,32.852061,-106.015956,0.010,0,desert cull (greenness below threshold)
C000097,315,32.853092,-106.013360,0.011,0,desert cull (greenness below threshold)
C000098,318,32.832927,-106.063677,0.005,0,desert cull (greenness below threshold)
C000099,323,32.831791,-106.066108,0.005,0,desert cull (greenness below threshold)
C000100,330,32.829532,-106.067411,0.006,0,desert cull (greenness below threshold)
C000101,336,32.829193,-106.071434,0.006,0,desert cull (greenness below threshold)
C000102,339,32.827981,-106.073943,0.004,0,desert cull (greenness below threshold)
C000103,341,32.827705,-106.074518,0.004,0,desert cull (greenness below threshold)
C000104,345,32.826094,-106.078346,0.005,0,desert cull (greenness below threshold)
C000105,347,32.824920,-106.080711,0.006,0,desert cull (greenness below threshold)
C000106,349,32.824036,-106.082400,0.006,0,desert cull (greenness below threshold)
C000107,350,32.823370,-106.083763,0.008,0,desert cull (greenness below threshold)
C000108,352,32.822058,-106.086304,0.010,0,desert cull (greenness below threshold)
C000109,354,32.820786,-106.088821,0.010,0,desert cull (greenness below threshold)
C000110,355,32.820080,-106.090214,0.010,0,desert cull (greenness below threshold)
C000111,356,32.819378,-106.091593,0.010,0,desert cull (greenness below threshold)
C000112,359,32.817438,-106.095469,0.011,0,desert cull (greenness below threshold)
C000113,360,32.816749,-106.096826,0.011,0,desert cull (greenness below threshold)
C000114,361,32.816060,-106.098186,0.011,0,desert cull (greenness below threshold)
C000115,363,32.814736,-106.100797,0.011,0,desert cull (greenness below threshold)
C000116,365,32.813366,-106.103500,0.011,0,desert cull (greenness below threshold)
C000117,366,32.812677,-106.104854,0.011,0,desert cull (greenness below threshold)
C000118,367,32.812001,-106.106193,0.011,0,desert cull (greenness below threshold)
C000119,369,32.810626,-106.108901,0.011,0,desert cull (greenness below threshold)
C000120,371,32.809253,-106.111608,0.010,0,desert cull (greenness below threshold)
C000121,372,32.808564,-106.112967,0.010,0,desert cull (greenness below threshold)
C000122,373,32.807880,-106.114317,0.010,0,desert cull (greenness below threshold)
C000123,375,32.806507,-106.117027,0.010,0,desert cull (greenness below threshold)
C000124,377,32.805385,-106.119236,0.011,0,desert cull (greenness below threshold)
C000125,378,32.804823,-106.120343,0.010,0,desert cull (greenness below threshold)
C000126,380,32.803546,-106.122762,0.010,0,desert cull (greenness below threshold)
C000127,382,32.802095,-106.125712,0.010,0,desert cull (greenness below threshold)
C000128,383,32.801539,-106.126810,0.010,0,desert cull (greenness below threshold)
C000129,384,32.800846,-106.128139,0.010,0,desert cull (greenness below threshold)
C000130,386,32.799470,-106.130855,0.012,0,desert cull (greenness below threshold)
C000131,389,32.797653,-106.134433,0.011,0,desert cull (greenness below threshold)
C000132,391,32.796477,-106.136756,0.012,0,desert cull (greenness below threshold)
C000133,393,32.798889,-106.136777,0.013,0,desert cull (greenness below threshold)
C000134,396,32.802582,-106.136778,0.014,0,desert cull (greenness below threshold)
C000135,398,32.805039,-106.136826,0.013,0,desert cull (greenness below threshold)
C000136,402,32.797886,-106.138485,0.012,0,desert cull (greenness below threshold)
C000137,405,32.802012,-106.139838,0.014,0,desert cull (greenness below threshold)
C000138,408,32.806231,-106.141201,0.014,0,desert cull (greenness below threshold)
C000139,411,32.810277,-106.142516,0.012,0,desert cull (greenness below threshold)
C000140,413,32.813122,-106.143438,0.011,0,desert cull (greenness below threshold)
C000141,417,32.813639,-106.147607,0.011,0,desert cull (greenness below threshold)
C000142,421,32.817024,-106.151801,0.009,0,desert cull (greenness below threshold)
C000143,425,32.814512,-106.143897,0.011,0,desert cull (greenness below threshold)
C000144,428,32.795227,-106.139224,0.012,0,desert cull (greenness below threshold)
C000145,430,32.793848,-106.141921,0.011,0,desert cull (greenness below threshold)
C000146,432,32.792481,-106.144651,0.012,0,desert cull (greenness below threshold)
C000147,435,32.790422,-106.148705,0.013,0,desert cull (greenness below threshold)
C000148,436,32.789732,-106.150058,0.013,0,desert cull (greenness below threshold)
C000149,437,32.789041,-106.151418,0.011,0,desert cull (greenness below threshold)
C000150,439,32.787669,-106.154112,0.011,0,desert cull (greenness below threshold)
C000151,441,32.786310,-106.155881,0.011,0,desert cull (greenness below threshold)
C000152,444,32.784491,-106.159283,0.011,0,desert cull (greenness below threshold)
C000153,446,32.783246,-106.162056,0.011,0,desert cull (greenness below threshold)
C000154,447,32.782584,-106.163453,0.011,0,desert cull (greenness below threshold)
C000155,448,32.781939,-106.164841,0.011,0,desert cull (greenness below threshold)
C000156,450,32.780683,-106.167611,0.010,0,desert cull (greenness below threshold)
C000157,452,32.779289,-106.170329,0.008,0,desert cull (greenness below threshold)
C000158,453,32.778670,-106.171412,0.008,0,desert cull (greenness below threshold)
C000159,454,32.778048,-106.172568,0.006,0,desert cull (greenness below threshold)
C000160,463,32.828175,-106.075519,0.004,0,desert cull (greenness below threshold)
C000161,490,32.828143,-106.079343,0.003,0,desert cull (greenness below threshold)
C000162,502,32.828119,-106.083653,0.003,0,desert cull (greenness below threshold)
C000163,518,32.884601,-106.004099,0.009,0,desert cull (greenness below threshold)
C000164,520,32.882287,-106.004778,0.009,0,desert cull (greenness below threshold)
C000165,522,32.879964,-106.005462,0.009,0,desert cull (greenness below threshold)
C000166,523,32.878529,-106.005887,0.009,0,desert cull (greenness below threshold)
C000167,524,32.877135,-106.006292,0.009,0,desert cull (greenness below threshold)
C000168,525,32.875756,-106.006701,0.009,0,desert cull (greenness below threshold)
C000169,528,32.872246,-106.007738,0.009,0,desert cull (greenness below threshold)
C000170,530,32.869469,-106.008552,0.009,0,desert cull (greenness below threshold)
C000171,532,32.866678,-106.009369,0.009,0,desert cull (greenness below threshold)
C000172,533,32.865284,-106.009779,0.009,0,desert cull (greenness below threshold)
C000173,534,32.863884,-106.010192,0.009,0,desert cull (greenness below threshold)
C000174,536,32.861112,-106.011006,0.009,0,desert cull (greenness below threshold)
C000175,538,32.858348,-106.011818,0.010,0,desert cull (greenness below threshold)
C000176,549,32.908017,-105.971444,0.004,0,desert cull (greenness below threshold)
C000177,555,32.907943,-105.966700,0.003,0,desert cull (greenness below threshold)
C000178,566,32.911837,-105.967624,0.008,0,desert cull (greenness below threshold)
C000179,567,32.912656,-105.967633,0.008,0,desert cull (greenness below threshold)
C000180,571,32.915467,-105.967659,0.007,0,desert cull (greenness below threshold)
C000181,572,32.916222,-105.967666,0.006,0,desert cull (greenness below threshold)
C000182,576,32.919205,-105.967697,0.008,0,desert cull (greenness below threshold)
C000183,577,32.919910,-105.967705,0.007,0,desert cull (greenness below threshold)
C000184,581,32.923215,-105.967721,0.008,0,desert cull (greenness below threshold)
C000185,582,32.924080,-105.967746,0.007,0,desert cull (greenness below threshold)
C000186,585,32.926507,-105.967769,0.008,0,desert cull (greenness below threshold)
C000187,586,32.927373,-105.967779,0.008,0,desert cull (greenness below threshold)
C000188,590,32.930371,-105.967809,0.008,0,desert cull (greenness below threshold)
C000189,591,32.931197,-105.967819,0.008,0,desert cull (greenness below threshold)
C000190,595,32.934301,-105.967940,0.007,0,desert cull (greenness below threshold)
C000191,596,32.934870,-105.968017,0.008,0,desert cull (greenness below threshold)
C000192,600,32.938212,-105.967580,0.007,0,desert cull (greenness below threshold)
C000193,601,32.939069,-105.967589,0.008,0,desert cull (greenness below threshold)
C000194,605,32.942333,-105.967603,0.008,0,desert cull (greenness below threshold)
